2020_10,2020_11,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_08,2021_09
1322279566463979520,1333163588211642372,1342239391306182660,1354426135841562631,1362826826171756544,1372759413681913857,1384588600231309313,1390672106443055108,1400155195577798660,1417214806638088212,1426641098420723723,1439627157655986179
1320782836601937926,1333500905405247490,1334198659613941761,1349610524544217088,1359477984718172164,1375889635432259586,1381091540920045569,1398601377841037312,1403961524344004610,1412568530570997761,1423905792764391429,1436377312405037057
1318285918311243776,1329521209302806530,1344199997139660806,1350289569401499650,1364910012968091649,1370225035772891138,1382061286729601037,1396523838230433793,1410182179301335041,1420202197258674178,1423434490517590021,1443477997751836672
1321678298284523520,1329745610115862529,1338515783354343427,1350097511680237570,1364277882428784649,1371869661072134148,1381951582422626304,1398912371276619778,1404903142815322113,1416821387705135104,1422160345699737610,1440986974333120513
1321966064583004160,1332572576997142528,1339862014697455617,1349010120794136577,1365369383477010434,1373783676996161540,1387234959749001216,1396549637604052995,1408464056613326849,1421050917584089096,1426300520201871362,1436678539131199493
1321133585047392256,1323023317037666304,1334767645598523394,1348650931299225600,1362834265017364481,1367073427727785987,1379791441203978245,1391040023747710979,1400808620749635584,1419838505845501959,1425341604005511170,1435475246795005954
1319597963203706881,1329190430345359362,1334544774494208001,1348749326185590788,1358854308809355268,1375377400922394624,1384171320015941639,1394373999593934853,1409288366043013122,1420322520440377346,1423059074602700806,1441318300395323393
1322086538650550272,1329199664525086722,1344205049011073024,1355252734119833605,1364307557117022208,1375596896614555650,1385179813024051203,1392303906433155072,1407291611889950721,1417955112102895617,1429908525564768262,1437199177835028484
1319421329003540480,1328071530023178241,1336126765819977728,1350730710508658690,1359541736494813189,1375001135468122113,1381218474643623940,1392960385179951105,1407196615966867458,1418571143888347141,1429688878177345539,1443064332879908866
1318340500013912066,1333624267838083072,1336697120196337666,1348977516153876482,1365779070630395905,1366905271755304962,1388362231037923331,1392935899655286785,1409342174244782082,1417238659640745985,1424447106866196482,1441405864607244288
1318580968102518785,1329078233917124608,1342558121487691776,1346625632726261760,1364883739055128577,1370463210030034946,1383121902944784389,1398634384354385925,1401595807443390471,1414879629127692304,1432503100473024513,1442845337706766340
1321091537074343940,1328687293239087107,1335369107579961345,1348741537522307072,1365077775913267201,1377046002918551552,1385583807739351040,1393338898202329089,1404504399473373187,1419195422128578561,1427111808494542854,1435239017172414465
1319075076424216577,1331864373338517509,1340708836806713350,1348960239295541248,1361724395325186055,1375241497314951168,1387861298164248577,1393516800067919872,1402220553021255686,1413421794325827584,1425996498379104261,1436158464745787394
1322461725292171264,1331731086301409287,1334393826870517760,1347215670673625090,1359352675867844608,1373920511642718213,1387113392264007686,1398701575279767557,1402706677946781700,1421480043981717510,1424048423192440839,1435581959611224066
1319833867247706112,1328724053746614272,1334060543850778628,1346556842063900678,1364340542071582720,1370904635691696131,1387328591566983173,1392969538317213704,1409341251757936640,1417220449499590663,1430841174109999111,1437874317853925376
1321877981426601984,1328328833699897344,1337271503252041730,1348837384629194755,1358768073826787332,1368958801836208131,1381344100591394818,1396844944862728197,1408968007796264960,1416557257576308738,1422353148736380928,1435638906033111050
1318980187627933704,1333178216543088648,1336545053280509956,1352298173033799682,1365727435740770307,1376907431394033664,1379439555141586948,1397648073950593025,1409748347997417474,1414282590220128262,1432111990445596673,1433895758554664968
1321489916212269061,1332470109722398722,1334550702539026434,1346641871079141376,1363198172928094214,1368952503669190656,1382872548472455169,1398924538608455681,1408517387909881858,1419564904642711557,1425052156982403094,1440805238902964224
1319171548675215362,1327127396525420545,1337378549104340992,1347592358314061828,1358516051080839177,1367183954269282309,1387558618522869761,1389764647738281990,1408731320457449472,1415950845699629058,1423036055079563264,1439473891609546759
1321919929759768579,1333192444104609793,1338599547698900994,1346804976190943232,1362802867090976768,1375987025233469446,1384893845125599236,1393238934243532801,1408209670557376516,1417051553182195713,1429192632014680073,1433455086399680520
1320679116648128513,1326873243924488192,1342125422625087488,1348882811034460161,1363945793506394112,1376917101089284103,1379485180759445504,1397016782875992067,1400956973470863360,1418300467252285452,1424496406971174914,1436949567208099840
1319929508082888705,1333664629311102976,1337451952263684096,1346996884221542401,1356285103077380099,1372188013091028996,1382974915620470788,1397373451082420230,1400427703128428544,1419682043005313025,1422260420929376257,1436108187850223616
1321010480945582081,1333468344125714434,1334104532951810048,1352971331286032384,1357739572151660544,1375693530413207554,1387105072602128387,1396994824675467264,1403941730479706114,1414278854986723329,1423600080116932610,1442669774618591240
1321820807350362115,1323775222445674496,1339626145654984708,1352010201759670284,1362593197193637895,1368588204039954438,1387000445294583810,1398304313093595136,1404515501770829824,1416520873226481664,1426322887015813121,1438612553337278472
1321442408303894528,1326088250126180353,1335458862917246981,1345356780315009025,1359975036224892932,1369055106201579523,1377829313328873474,1399569975728394247,1407724208717656066,1412927335452483584,1423991674791944193,1442470921848111106
1319614256128708608,1329204997960077312,1340005617277300737,1354065593109008384,1364637770073964557,1377082984587792387,1387867030129360897,1397399968449798148,1407307875609948164,1416629717331898368,1424364910855741445,1439031274375614466
1321500601210077184,1329822650340945926,1343763426913492993,1346414263846387712,1361715751376351232,1377030887691419655,1382859777076776965,1393678976145575938,1408479065250537475,1421278118199939080,1431646330775027716,1440878022240837640
1321363235413655552,1329025256342904832,1340456660284960768,1346157981667266560,1364605272732422148,1370681099836350469,1388082975368155137,1390048563175075848,1403834748678684676,1413576098273660932,1424106121720041475,1440525832447934473
1320821831948001280,1333148780821180416,1341872421138169856,1354218334011723776,1366074318409637889,1375990226057883648,1385540149409374209,1393549773236588544,1401658851225657345,1421360879082237956,1422427797281198106,1440420593019457539
1319384825158111235,1333198352427732997,1336483620102475779,1354751066269745156,1363055652168327171,1368312539218653201,1385586634045882370,1393285957651161092,1400929010671095812,1416618488639246336,1421950798066561025,1434353522011779072
1320371299743481856,1333150242582245378,1339635818315526144,1349231184233041923,1361074603292991488,1369384930136952842,1379478720977592323,1393990447748374528,1408596870683840517,1416769902975856646,1429205246371315714,1433074320151035907
1322480871270686722,1333192209986949120,1339404989781962753,1355301301022765062,1363245244809101313,1375242805203726336,1378809252190453761,1399114078770106371,1404640493661605892,1418313417761296387,1422958098822483969,1436747849396625412
1320611561673637888,1333155052131917824,1342383905723346946,1352558865020280833,1363759542216110081,1375299589931171842,1380343030683729921,1396190784269918214,1407352334775197698,1417296422786027521,1430650206945677313,1436807578059788290
1319622055642451970,1323045313578299392,1343371607885144069,1345542401490903041,1362227037985935364,1369739246739750912,1384495850999750658,1389296118010318850,1408872025897197570,1417977144613900298,1432128185978785795,1439554126652874752
1318472653120962561,1322921927443275776,1338474712163381249,1355963344642068481,1358611288419536898,1367144136688689156,1378052176711450626,1392916901429448715,1400558518030245893,1413094643324104705,1430227028700172288,1443473282431393800
1321202516822913024,1333532298575179778,1335869442136412161,1347195436780707847,1364762647019847682,1373483868574089217,1388136657115926535,1393830259645108225,1408279020521902091,1416949587437395968,1430752105669795841,1442960494961168384
1320946242139115522,1332496941226348546,1334565038435123200,1346649299577397250,1359295821762744329,1370420453005651970,1380351053166743557,1394004500172599298,1401887852565311492,1419839109456011265,1424051988480724994,1437766388140150787
1319217566372532224,1333488273231138819,1341861830801682433,1350502920459071488,1356377874660347905,1376395364018790403,1378220782132867077,1393312348144766977,1408770859909537802,1419877743185911809,1425575564954554381,1436109465808429058
1320648358004957185,1324011222342144000,1338473205720354823,1346874078272098308,1362845554242433025,1367630532524261378,1380521880688463875,1393614087909625858,1404256680146137088,1413569519482806273,1424505325504192522,1443294569274257423
1319979578702561285,1333130126289215496,1344818925893251073,1346470204226686978,1360890643573313537,1366962348150329345,1387371036711215106,1389778819993702400,1407342699775156239,1413192738376462337,1428368327047589889,1435781844595789828
1322525887649243137,1327964549673193478,1336064985416536071,1348755451094167552,1359485556204445701,1377243824515321856,1381707485787078661,1391107132888698880,1402273807587500045,1414683343929630723,1428361482023018497,1434294122139906050
1320912500049760256,1327908724116254730,1340833914391318528,1353870242808737792,1363677917910159362,1368220396038852612,1382718146876997632,1392128040570925066,1400172791148822528,1420892282090229768,1427980341071990785,1437080844380868612
1319677781312229376,1333015877038469120,1341179398741925888,1346317433464877058,1361672903457189891,1371040447917875203,1384216731166527492,1393191340343758861,1409635086232743938,1420865783362691074,1428551891160420356,1437805884894289924
1318674329668775938,1333272429632778240,1342877828195508224,1346672612588437504,1365063631147270152,1367455666391113734,1380338025167679490,1398013222750404616,1404694263976374278,1416533920707923970,1430146973747851265,1433070323813998600
